"title","url","criterion_list_id"
"Kevin Macdonald’s Top 10","https://www.criterion.com/current/top-10-lists/44-kevin-macdonald-s-top-10","44"
"Richard Linklater’s Top 10","https://www.criterion.com/current/top-10-lists/42-richard-linklater-s-top-10","42"
"John Lurie’s Top 10","https://www.criterion.com/current/top-10-lists/43-john-lurie-s-top-10","43"
"Dennis Lehane’s Top 10","https://www.criterion.com/current/top-10-lists/41-dennis-lehane-s-top-10","41"
"Christa Lang-Fuller’s Top 10","https://www.criterion.com/current/top-10-lists/40-christa-lang-fuller-s-top-10","40"
"Neil LaBute’s Top 10","https://www.criterion.com/current/top-10-lists/39-neil-labute-s-top-10","39"
"Frank Kozik’s Top 10","https://www.criterion.com/current/top-10-lists/38-frank-kozik-s-top-10","38"
"Rian Johnson’s Top 10","https://www.criterion.com/current/top-10-lists/37-rian-johnson-s-top-10","37"
"David Hudson’s Top 10","https://www.criterion.com/current/top-10-lists/36-david-hudson-s-top-10","36"
"Jean-Pierre Gorin’s Top 10","https://www.criterion.com/current/top-10-lists/35-jean-pierre-gorin-s-top-10","35"
"Bruce Goldstein’s Top 10","https://www.criterion.com/current/top-10-lists/34-bruce-goldstein-s-top-10","34"
