"slug","title","year","director","runtime","imdb","tmdb","times_picked","imdb_url","lb_url"
"irma-vep","Irma Vep","1996","Olivier Assayas","99","tt0116650","25355","1","https://www.imdb.com/title/tt0116650/","https://letterboxd.com/film/irma-vep/"
"pigeons-in-the-square","Pigeons in the Square","1982","Jean Painlevé","27","tt1446096","162784","1","https://www.imdb.com/title/tt1446096/","https://letterboxd.com/film/pigeons-in-the-square/"
"the-elephant-man","The Elephant Man","1980","David Lynch","124","tt0080678","1955","5","https://www.imdb.com/title/tt0080678/","https://letterboxd.com/film/the-elephant-man/"
"dont-look-now","Don't Look Now","1973","Nicolas Roeg","110","tt0069995","931","6","https://www.imdb.com/title/tt0069995/","https://letterboxd.com/film/dont-look-now/"
"the-spirit-of-the-beehive","The Spirit of the Beehive","1973","Víctor Erice","98","tt0070040","4495","6","https://www.imdb.com/title/tt0070040/","https://letterboxd.com/film/the-spirit-of-the-beehive/"
"seven-rooms-kitchen-bathroom-for-sale","Seven Rooms, Kitchen, Bathroom, for Sale","1984","Agnès Varda","28","tt0159938","251004","4","https://www.imdb.com/title/tt0159938/","https://letterboxd.com/film/seven-rooms-kitchen-bathroom-for-sale/"
"the-magic-flute","The Magic Flute","1975","Ingmar Bergman","134","tt0073822","44864","13","https://www.imdb.com/title/tt0073822/","https://letterboxd.com/film/the-magic-flute/"
"fanny-and-alexander","Fanny and Alexander","1982","Ingmar Bergman","188","tt0083922","5961","20","https://www.imdb.com/title/tt0083922/","https://letterboxd.com/film/fanny-and-alexander/"
"magnificent-obsession-1954","Magnificent Obsession","1954","Douglas Sirk","108","tt0047203","13457","1","https://www.imdb.com/title/tt0047203/","https://letterboxd.com/film/magnificent-obsession-1954/"
"the-tales-of-hoffmann","The Tales of Hoffmann","1951","Michael Powell, Emeric Pressburger","127","tt0044103","44334","3","https://www.imdb.com/title/tt0044103/","https://letterboxd.com/film/the-tales-of-hoffmann/"
"bamboozled","Bamboozled","2000","Spike Lee","136","tt0215545","24664","6","https://www.imdb.com/title/tt0215545/","https://letterboxd.com/film/bamboozled/"
"diabolique-1955","Diabolique","1955","Henri-Georges Clouzot","117","tt0046911","827","5","https://www.imdb.com/title/tt0046911/","https://letterboxd.com/film/diabolique-1955/"
"love-basketball","Love & Basketball","2000","Gina Prince-Bythewood","125","tt0199725","14736","11","https://www.imdb.com/title/tt0199725/","https://letterboxd.com/film/love-basketball/"
"the-uninvited","The Uninvited","1944","Lewis Allen","99","tt0037415","16373","1","https://www.imdb.com/title/tt0037415/","https://letterboxd.com/film/the-uninvited/"
"gomorrah","Gomorrah","2008","Matteo Garrone","137","tt0929425","8882","3","https://www.imdb.com/title/tt0929425/","https://letterboxd.com/film/gomorrah/"
"bay-of-angels","Bay of Angels","1963","Jacques Demy","84","tt0056846","60773","6","https://www.imdb.com/title/tt0056846/","https://letterboxd.com/film/bay-of-angels/"
"daphnia","Daphnia","1928","Jean Painlevé","8","tt0129860","147015","1","https://www.imdb.com/title/tt0129860/","https://letterboxd.com/film/daphnia/"
"diamonds-of-the-night","Diamonds of the Night","1964","Jan Němec","67","tt0058001","100589","3","https://www.imdb.com/title/tt0058001/","https://letterboxd.com/film/diamonds-of-the-night/"
"the-magician-1958","The Magician","1958","Ingmar Bergman","102","tt0051365","29453","16","https://www.imdb.com/title/tt0051365/","https://letterboxd.com/film/the-magician-1958/"
"tokyo-drifter","Tokyo Drifter","1966","Seijun Suzuki","83","tt0061101","45706","1","https://www.imdb.com/title/tt0061101/","https://letterboxd.com/film/tokyo-drifter/"
"the-silence-of-the-lambs","The Silence of the Lambs","1991","Jonathan Demme","119","tt0102926","274","5","https://www.imdb.com/title/tt0102926/","https://letterboxd.com/film/the-silence-of-the-lambs/"
"coup-de-grace","Coup de Grâce","1976","Volker Schlöndorff","95","tt0074515","42226","1","https://www.imdb.com/title/tt0074515/","https://letterboxd.com/film/coup-de-grace/"
"not-a-pretty-picture","Not a Pretty Picture","1976","Martha Coolidge","83","tt0073467","432907","2","https://www.imdb.com/title/tt0073467/","https://letterboxd.com/film/not-a-pretty-picture/"
"zatoichi-challenged","Zatoichi Challenged","1967","Kenji Misumi","87","tt0063834","54279","1","https://www.imdb.com/title/tt0063834/","https://letterboxd.com/film/zatoichi-challenged/"
"a-raisin-in-the-sun","A Raisin in the Sun","1961","Daniel Petrie","128","tt0055353","29478","2","https://www.imdb.com/title/tt0055353/","https://letterboxd.com/film/a-raisin-in-the-sun/"
"the-innocents","The Innocents","1961","Jack Clayton","100","tt0055018","16372","3","https://www.imdb.com/title/tt0055018/","https://letterboxd.com/film/the-innocents/"
"the-phantom-of-liberty","The Phantom of Liberty","1974","Luis Buñuel","104","tt0071487","5558","11","https://www.imdb.com/title/tt0071487/","https://letterboxd.com/film/the-phantom-of-liberty/"
"the-prince-of-tides","The Prince of Tides","1991","Barbra Streisand","132","tt0102713","10333","3","https://www.imdb.com/title/tt0102713/","https://letterboxd.com/film/the-prince-of-tides/"
"the-dead-1960","The Dead","1960","Stan Brakhage","11","tt0233534","145033","3","https://www.imdb.com/title/tt0233534/","https://letterboxd.com/film/the-dead-1960/"
"zatoichi-meets-yojimbo","Zatoichi Meets Yojimbo","1970","Kihachi Okamoto","115","tt0066603","42601","1","https://www.imdb.com/title/tt0066603/","https://letterboxd.com/film/zatoichi-meets-yojimbo/"
"ah-fei-jing-juen","Days of Being Wild","1990","Wong Kar-Wai","94","tt0101258","18311","8","https://www.imdb.com/title/tt0101258/","https://letterboxd.com/film/ah-fei-jing-juen/"
"the-match-factory-girl","The Match Factory Girl","1990","Aki Kaurismäki","69","tt0098532","7974","5","https://www.imdb.com/title/tt0098532/","https://letterboxd.com/film/the-match-factory-girl/"
"beau-travail","Beau Travail","1999","Claire Denis","93","tt0209933","14626","11","https://www.imdb.com/title/tt0209933/","https://letterboxd.com/film/beau-travail/"
"the-woman-king","The Woman King","2022","Gina Prince-Bythewood","135","tt8093700","724495","1","https://www.imdb.com/title/tt8093700/","https://letterboxd.com/film/the-woman-king/"
"thirst","Thirst","1949","Ingmar Bergman","85","tt0041998","51143","12","https://www.imdb.com/title/tt0041998/","https://letterboxd.com/film/thirst/"
"children-of-paradise","Children of Paradise","1945","Marcel Carné","190","tt0037674","2457","6","https://www.imdb.com/title/tt0037674/","https://letterboxd.com/film/children-of-paradise/"
"bound","Bound","1996","Lana Wachowski, Lilly Wachowski","105","tt0115736","9303","3","https://www.imdb.com/title/tt0115736/","https://letterboxd.com/film/bound/"
"summer-with-monika","Summer with Monika","1953","Ingmar Bergman","98","tt0046345","47735","15","https://www.imdb.com/title/tt0046345/","https://letterboxd.com/film/summer-with-monika/"
"a-woman-under-the-influence","A Woman Under the Influence","1974","John Cassavetes","155","tt0072417","29845","40","https://www.imdb.com/title/tt0072417/","https://letterboxd.com/film/a-woman-under-the-influence/"
"two-tons-of-turquoise-to-taos-tonight","Two Tons of Turquoise to Taos Tonight","1975","Robert Downey Sr.","56","tt0427550","112446","2","https://www.imdb.com/title/tt0427550/","https://letterboxd.com/film/two-tons-of-turquoise-to-taos-tonight/"
"brief-encounters","Brief Encounters","1967","Kira Muratova","96","tt0061883","83440","1","https://www.imdb.com/title/tt0061883/","https://letterboxd.com/film/brief-encounters/"
