"id","title","link"
"240","André Gregory and Wallace Shawn’s Top 10","https://www.criterion.com/current/top-10-lists/240-andr-gregory-and-wallace-shawns-top-10"
"238","Josh and Benny Safdie’s Top 10","https://www.criterion.com/current/top-10-lists/238-josh-and-benny-safdies-top-10"
"237","Olivier Assayas’s Top 10","https://www.criterion.com/current/top-10-lists/237-olivier-assayass-top-10"
"236","Mark Cousins’s Top 10","https://www.criterion.com/current/top-10-lists/236-mark-cousinss-top-10"
"235","Jesse Malin’s Top 10","https://www.criterion.com/current/top-10-lists/235-jesse-malins-top-10"
"234","Ben Wheatley’s Top 10","https://www.criterion.com/current/top-10-lists/234-ben-wheatleys-top-10"
"233","Atom Egoyan’s Top 10","https://www.criterion.com/current/top-10-lists/233-atom-egoyans-top-10"
"232","Dick Cavett’s Top 10","https://www.criterion.com/current/top-10-lists/232-dick-cavetts-top-10"
"229","Marc Maron’s Top 10","https://www.criterion.com/current/top-10-lists/229-marc-marons-top-10"
"227","Robert Greene’s Top 10","https://www.criterion.com/current/top-10-lists/227-robert-greenes-top-10"
"226","Alex Ross Perry’s Top 10","https://www.criterion.com/current/top-10-lists/226-alex-ross-perrys-top-10"
"225","Don Hertzfeldt’s Top 10","https://www.criterion.com/current/top-10-lists/225-don-hertzfeldts-top-10"
"224","Will Oldham’s Top 10","https://www.criterion.com/current/top-10-lists/224-will-oldhams-top-10"
"223","Austin Garrick’s Top 10","https://www.criterion.com/current/top-10-lists/223-austin-garricks-top-10"
"222","Hossein Amini’s Top 10","https://www.criterion.com/current/top-10-lists/222-hossein-aminis-top-10"
"221","Mary Ellen Mark’s Top 10","https://www.criterion.com/current/top-10-lists/221-mary-ellen-marks-top-10"
"219","K. K. Barrett’s Top 10","https://www.criterion.com/current/top-10-lists/219-k-k-barretts-top-10"
"218","Christopher Hobbs’s Top 10","https://www.criterion.com/current/top-10-lists/218-christopher-hobbss-top-10"
"217","James Schamus’s Top 10","https://www.criterion.com/current/top-10-lists/217-james-schamuss-top-10"
"215","Tim Forbes’s Top 10","https://www.criterion.com/current/top-10-lists/215-tim-forbess-top-10"
"214","Martin Scorsese’s Top 10","https://www.criterion.com/current/top-10-lists/214-martin-scorseses-top-10"
"213","Stella Mozgawa’s Top 10","https://www.criterion.com/current/top-10-lists/213-stella-mozgawas-top-10"
"212","Bong Joon-ho’s Top 10","https://www.criterion.com/current/top-10-lists/212-bong-joon-hos-top-10"
"211","Geoff Dyer’s Top 10","https://www.criterion.com/current/top-10-lists/211-geoff-dyers-top-10"
"209","Kim Newman’s Top 10","https://www.criterion.com/current/top-10-lists/209-kim-newmans-top-10"
"208","Jonathan Caouette’s Top 10","https://www.criterion.com/current/top-10-lists/208-jonathan-caouettes-top-10"
"207","Daniel Lopatin’s Top 10","https://www.criterion.com/current/top-10-lists/207-daniel-lopatins-top-10"
"206","Keegan McHargue’s Top 10","https://www.criterion.com/current/top-10-lists/206-keegan-mchargues-top-10"
"205","Donald Fagen’s Top 10","https://www.criterion.com/current/top-10-lists/205-donald-fagens-top-10"
"204","Kazu Kibuishi’s Top 10","https://www.criterion.com/current/top-10-lists/204-kazu-kibuishis-top-10"
"202","Zola Jesus’s Top 10","https://www.criterion.com/current/top-10-lists/202-zola-jesuss-top-10"
"201","Roger Corman’s Top 10","https://www.criterion.com/current/top-10-lists/201-roger-cormans-top-10"
"199","Lena Dunham’s Top 10 ","https://www.criterion.com/current/top-10-lists/199-lena-dunhams-top-10"
"198","Haskell Wexler’s Top 10","https://www.criterion.com/current/top-10-lists/198-haskell-wexlers-top-10"
"197","Nicholas Stoller’s Top 10","https://www.criterion.com/current/top-10-lists/197-nicholas-stollers-top-10"
"193","Andrew Loog Oldham’s Top 10","https://www.criterion.com/current/top-10-lists/193-andrew-loog-oldhams-top-10"
"192","Andrew Weil’s Top 10","https://www.criterion.com/current/top-10-lists/192-andrew-weils-top-10"
"191","Christopher Nolan’s Top 10","https://www.criterion.com/current/top-10-lists/191-christopher-nolans-top-10"
"188","Flying Lotus’s Top 10","https://www.criterion.com/current/top-10-lists/188-flying-lotuss-top-10"
"187","Paul Feig’s Top 10 ","https://www.criterion.com/current/top-10-lists/187-paul-feigs-top-10"
"185","William Friedkin’s Top 10 ","https://www.criterion.com/current/top-10-lists/185-william-friedkins-top-10"
"184","Franc Roddam’s Top 10","https://www.criterion.com/current/top-10-lists/184-franc-roddams-top-10"
"182","Andrew Haigh’s Top 10 ","https://www.criterion.com/current/top-10-lists/182-andrew-haighs-top-10"
"180","Brie Larson’s Top 10 ","https://www.criterion.com/current/top-10-lists/180-brie-larsons-top-10"
"179","Miguel Arteta’s Top 10 ","https://www.criterion.com/current/top-10-lists/179-miguel-artetas-top-10"
"177","Chuck Klosterman’s Top 10","https://www.criterion.com/current/top-10-lists/177-chuck-klostermans-top-10"
"176","Phil Rosenthal’s Top 10","https://www.criterion.com/current/top-10-lists/176-phil-rosenthals-top-10"
"175"," John Taylor’s Top 10","https://www.criterion.com/current/top-10-lists/175-john-taylors-top-10"
"173","Oren Moverman’s Top 10","https://www.criterion.com/current/top-10-lists/173-oren-movermans-top-10"
"172","Susie Bright’s Top 10 ","https://www.criterion.com/current/top-10-lists/172-susie-brights-top-10"
"170","Dominic Monaghan’s Top 10","https://www.criterion.com/current/top-10-lists/170-dominic-monaghans-top-10"
"168","Michael Korda’s Top 10","https://www.criterion.com/current/top-10-lists/168-michael-kordas-top-10"
"167","Alec Baldwin’s Top 10","https://www.criterion.com/current/top-10-lists/167-alec-baldwins-top-10"
"164","Nicolas Winding Refn’s Top 10","https://www.criterion.com/current/top-10-lists/164-nicolas-winding-refns-top-10"
"163","Aki Kaurismäki’s Top 10 ","https://www.criterion.com/current/top-10-lists/163-aki-kaurismkis-top-10"
"161","Edgar Wright’s Top 10","https://www.criterion.com/current/top-10-lists/161-edgar-wrights-top-10"
"159","Richard Ayoade’s Top 10","https://www.criterion.com/current/top-10-lists/159-richard-ayoades-top-10"
"156","Robert Ben Garant and Tom Lennon’s Top 10","https://www.criterion.com/current/top-10-lists/156-robert-ben-garant-and-tom-lennons-top-10"
"152","Anthony Bourdain’s Top 10","https://www.criterion.com/current/top-10-lists/152-anthony-bourdains-top-10"
"148","John Bailey’s Top 10","https://www.criterion.com/current/top-10-lists/148-john-baileys-top-10"
"143","João Pedro Rodrigues’s Top 10","https://www.criterion.com/current/top-10-lists/143-joo-pedro-rodriguess-top-10"
"139","Bill Hader’s Top 10","https://www.criterion.com/current/top-10-lists/139-bill-haders-top-10"
"138","Greg Mottola’s Top 10","https://www.criterion.com/current/top-10-lists/138-greg-mottolas-top-10"
"132","Georgia Hubley’s Top 10","https://www.criterion.com/current/top-10-lists/132-georgia-hubleys-top-10"
"129","Scott Morse’s Top Ten","https://www.criterion.com/current/top-10-lists/129-scott-morses-top-ten"
"125","Guillermo del Toro’s Top 10","https://www.criterion.com/current/top-10-lists/125-guillermo-del-toros-top-10"
"121","Angus MacLachlan’s Top 10","https://www.criterion.com/current/top-10-lists/121-angus-maclachlans-top-10"
"115","Wes Anderson’s Top 10","https://www.criterion.com/current/top-10-lists/115-wes-andersons-top-10"
"109","Marcel Dzama’s Top 10","https://www.criterion.com/current/top-10-lists/109-marcel-dzamas-top-10"
"102","Xavier Dolan’s Top 10","https://www.criterion.com/current/top-10-lists/102-xavier-dolans-top-10"
"89","Frederick Elmes’s Top 10","https://www.criterion.com/current/top-10-lists/89-frederick-elmess-top-10"
"87","Johnnie To’s Top 10","https://www.criterion.com/current/top-10-lists/87-johnnie-tos-top-10"
"85","Iron and Wine’s Top 10","https://www.criterion.com/current/top-10-lists/85-iron-and-wines-top-10"
"84","Seth’s Top 10","https://www.criterion.com/current/top-10-lists/84-seths-top-10"
"80","Pedro Costa’s Top 10","https://www.criterion.com/current/top-10-lists/80-pedro-costas-top-10"
"77","Michael Atkinson’s Top 10","https://www.criterion.com/current/top-10-lists/77-michael-atkinsons-top-10"
"73","Joe Mantegna’s Top 10","https://www.criterion.com/current/top-10-lists/73-joe-mantegnas-top-10"
"72","Sonic Youth’s Top 10","https://www.criterion.com/current/top-10-lists/72-sonic-youths-top-10"
"70","Caitlin Kuhwald’s Top 10","https://www.criterion.com/current/top-10-lists/70-caitlin-kuhwalds-top-10"
"69","Whit Stillman’s Top 10","https://www.criterion.com/current/top-10-lists/69-whit-stillmans-top-10"
"68","Nathan Lee’s Top 10","https://www.criterion.com/current/top-10-lists/68-nathan-lees-top-10"
"67","Al Reinert’s Top 10","https://www.criterion.com/current/top-10-lists/67-al-reinerts-top-10"
"66","Joe Swanberg’s Top 10","https://www.criterion.com/current/top-10-lists/66-joe-swanbergs-top-10"
"65","Götz Spielmann’s Top 10","https://www.criterion.com/current/top-10-lists/65-gtz-spielmanns-top-10"
"64","Jaime Hernandez’s Top 10","https://www.criterion.com/current/top-10-lists/64-jaime-hernandezs-top-10"
"63","James Franco’s Top 10","https://www.criterion.com/current/top-10-lists/63-james-francos-top-10"
"62","Paul Morrissey’s Top 10","https://www.criterion.com/current/top-10-lists/62-paul-morrisseys-top-10"
"61","Monte Hellman’s Top 10","https://www.criterion.com/current/top-10-lists/61-monte-hellmans-top-10"
"60","Dave Filipi’s Top 10","https://www.criterion.com/current/top-10-lists/60-dave-filipis-top-10"
"59","Chris Hegedus’s Top 10","https://www.criterion.com/current/top-10-lists/59-chris-hegeduss-top-10"
"58","Ricky Jay’s Top 10","https://www.criterion.com/current/top-10-lists/58-ricky-jays-top-10"
"57","Adam Yauch’s Top 10","https://www.criterion.com/current/top-10-lists/57-adam-yauchs-top-10"
"56","Robin Wood’s Top 10","https://www.criterion.com/current/top-10-lists/56-robin-woods-top-10"
"55","Paul Schrader’s Top 10","https://www.criterion.com/current/top-10-lists/55-paul-schraders-top-10"
"54","Leanne Shapton’s Top 10","https://www.criterion.com/current/top-10-lists/54-leanne-shaptons-top-10"
"53","David Schwartz’s Top 10","https://www.criterion.com/current/top-10-lists/53-david-schwartzs-top-10"
"52","Tom Schnabel’s Top 10","https://www.criterion.com/current/top-10-lists/52-tom-schnabels-top-10"
"51","Nicolas Roeg’s Top 10","https://www.criterion.com/current/top-10-lists/51-nicolas-roegs-top-10"
"49","Bill Plympton’s Top 10","https://www.criterion.com/current/top-10-lists/49-bill-plymptons-top-10"
"48","D. A. Pennebaker’s Top 10","https://www.criterion.com/current/top-10-lists/48-d-a-pennebakers-top-10"
"47","Patton Oswalt’s Top 10","https://www.criterion.com/current/top-10-lists/47-patton-oswalts-top-10"
"46","David Markey’s Top 10","https://www.criterion.com/current/top-10-lists/46-david-markeys-top-10"
"45","Guy Maddin’s Top 10","https://www.criterion.com/current/top-10-lists/45-guy-maddins-top-10"
"44","Kevin Macdonald’s Top 10","https://www.criterion.com/current/top-10-lists/44-kevin-macdonalds-top-10"
"42","Richard Linklater’s Top 10","https://www.criterion.com/current/top-10-lists/42-richard-linklaters-top-10"
"43","John Lurie’s Top 10","https://www.criterion.com/current/top-10-lists/43-john-luries-top-10"
"41","Dennis Lehane’s Top 10","https://www.criterion.com/current/top-10-lists/41-dennis-lehanes-top-10"
"40","Christa Lang-Fuller’s Top 10","https://www.criterion.com/current/top-10-lists/40-christa-lang-fullers-top-10"
"39","Neil LaBute’s Top 10","https://www.criterion.com/current/top-10-lists/39-neil-labutes-top-10"
"38","Frank Kozik’s Top 10","https://www.criterion.com/current/top-10-lists/38-frank-koziks-top-10"
"37","Rian Johnson’s Top 10","https://www.criterion.com/current/top-10-lists/37-rian-johnsons-top-10"
"36","David Hudson’s Top 10","https://www.criterion.com/current/top-10-lists/36-david-hudsons-top-10"
