"name","slug","visit_date","visit_year","is_group","occupations","n_picks","video","list_url"
"Claude Lelouch","claude-lelouchs-criterion-closet-picks","2025-04-02","2025","0","writers;directors;cinematographers;producers","13","https://www.youtube.com/watch?v=mITzH5WIe84","https://letterboxd.com/closetpicks/list/claude-lelouchs-criterion-closet-picks/"
"Ena Sendijarević","ena-sendijarevics-criterion-closet-picks","2024-04-10","2024","0","directors","5","","https://letterboxd.com/closetpicks/list/ena-sendijarevics-criterion-closet-picks/"
"James L. Brooks","james-l-brookss-criterion-closet-picks","2021-03-22","2021","0","directors","16","https://www.youtube.com/watch?v=HRr5Ivc40CI","https://letterboxd.com/closetpicks/list/james-l-brookss-criterion-closet-picks/"
"Gints Zilbalodis","gints-zilbalodis-criterion-closet-picks","2024-10-16","2024","0","directors","10","https://youtu.be/DkgBhjAwvj4","https://letterboxd.com/closetpicks/list/gints-zilbalodis-criterion-closet-picks/"
"David and Nathan Zellner's Criterion Picks","david-and-nathan-zellners-criterion-picks","2024-04-08","2024","1","directors","27","","https://letterboxd.com/closetpicks/list/david-and-nathan-zellners-criterion-picks/"
"Diego Luna","diego-lunas-criterion-closet-picks","2025-04-21","2025","0","actors;directors;producers","11","https://www.youtube.com/watch?v=D4yc-PgEpqo","https://letterboxd.com/closetpicks/list/diego-lunas-criterion-closet-picks/"
"Elle Fanning","elle-fannings-criterion-closet-picks","2025-09-30","2025","0","actors","10","https://youtu.be/4G7KuHCJMFg","https://letterboxd.com/closetpicks/list/elle-fannings-criterion-closet-picks/"
"Roger and James Deakins","roger-and-james-deakins-criterion-closet","2023-07-10","2023","1","directors;podcasters","13","https://www.youtube.com/watch?v=juhiRVORJ8o","https://letterboxd.com/closetpicks/list/roger-and-james-deakins-criterion-closet/"
"Bertrand Bonello","bertrand-bonellos-criterion-closet-picks","2024-04-02","2024","0","directors","13","https://www.youtube.com/watch?v=ciZvA3lnvJE","https://letterboxd.com/closetpicks/list/bertrand-bonellos-criterion-closet-picks/"
"Elijah Wood","elijah-woods-criterion-closet-picks","2026-03-18","2026","0","actors;producers","20","https://youtu.be/kcXBFY2XBuY","https://letterboxd.com/closetpicks/list/elijah-woods-criterion-closet-picks/"
"Isabelle Huppert's Second","isabelle-hupperts-second-criterion-closet","2024-10-02","2024","0","actors;return-visits","15","https://www.youtube.com/watch?v=GwSwBAo2FYo","https://letterboxd.com/closetpicks/list/isabelle-hupperts-second-criterion-closet/"
"Michael K. Williams","michael-k-williams-criterion-closet-picks","2011-03-20","2011","0","actors","6","https://www.youtube.com/watch?v=JJiL6ps8hZQ","https://letterboxd.com/closetpicks/list/michael-k-williams-criterion-closet-picks/"
"Barry Levinson","barry-levinsons-criterion-closet-picks","2017-06-11","2017","0","directors","11","https://www.youtube.com/watch?v=cqr3e6m8DGY","https://letterboxd.com/closetpicks/list/barry-levinsons-criterion-closet-picks/"
"Gaspar Noé","gaspar-noes-criterion-closet-picks","2015-11-05","2015","0","directors","22","https://www.youtube.com/watch?v=U_2R7T4-78E","https://letterboxd.com/closetpicks/list/gaspar-noes-criterion-closet-picks/"
"Volker Schlondorff","volker-schlondorffs-criterion-closet-picks","2014-10-16","2014","0","directors;writers","9","https://www.youtube.com/watch?v=Egip8AX68EI","https://letterboxd.com/closetpicks/list/volker-schlondorffs-criterion-closet-picks/"
"Agnès B.","agnes-bs-criterion-closet-picks","2023-07-02","2023","0","fashion-designers;designers","45","https://www.youtube.com/watch?v=KnBJbIzYI80","https://letterboxd.com/closetpicks/list/agnes-bs-criterion-closet-picks/"
"Edgar Wright","edgar-wrights-criterion-closet-picks","2015-03-04","2015","0","directors","6","https://www.youtube.com/watch?v=M99gL8IBMZw","https://letterboxd.com/closetpicks/list/edgar-wrights-criterion-closet-picks/"
"Phil Rosenthal","phil-rosenthals-criterion-closet-picks","2017-03-09","2017","0","tv-writer","14","https://www.youtube.com/watch?v=fkS1CpXhv9c","https://letterboxd.com/closetpicks/list/phil-rosenthals-criterion-closet-picks/"
"Zawe Ashton","zawe-ashtons-criterion-closet-picks","2023-11-16","2023","0","actors;writers","3","","https://letterboxd.com/closetpicks/list/zawe-ashtons-criterion-closet-picks/"
"Seth Rogen and Evan Goldberg","seth-rogen-and-evan-goldbergs-criterion-closet","2025-04-17","2025","1","actors;writers;directors","31","https://youtu.be/BjY2SluwCME","https://letterboxd.com/closetpicks/list/seth-rogen-and-evan-goldbergs-criterion-closet/"
"Edward Berger","edward-bergers-criterion-closet-picks","2024-10-17","2024","0","directors","15","https://www.youtube.com/watch?v=-zlyJmf-2MM","https://letterboxd.com/closetpicks/list/edward-bergers-criterion-closet-picks/"
"Hideo Kojima","hideo-kojimas-criterion-closet-picks","2023-06-16","2023","0","video-game-creator","13","https://www.youtube.com/watch?v=YUou0rghddc","https://letterboxd.com/closetpicks/list/hideo-kojimas-criterion-closet-picks/"
"Barry Sonnenfeld","barry-sonnenfelds-criterion-closet-picks","2024-09-30","2024","0","directors;cinematographers;author;missing-links","5","https://www.youtube.com/watch?v=Td2060BoCAk","https://letterboxd.com/closetpicks/list/barry-sonnenfelds-criterion-closet-picks/"
"Jack Garfein","jack-garfeins-criterion-closet-picks","2012-09-27","2012","0","directors;actors","18","https://www.youtube.com/watch?v=LhDI8R0Mskg","https://letterboxd.com/closetpicks/list/jack-garfeins-criterion-closet-picks/"
"Trace Lysette","trace-lysettes-criterion-closet-picks","2023-06-07","2023","0","actors","15","https://www.youtube.com/watch?v=oRNgOmL0BuQ","https://letterboxd.com/closetpicks/list/trace-lysettes-criterion-closet-picks/"
"Karina Longworth","karina-longworths-criterion-closet-picks","2020-04-22","2020","0","podcasters","13","https://www.youtube.com/watch?v=AHUyj4kFmF4","https://letterboxd.com/closetpicks/list/karina-longworths-criterion-closet-picks/"
"Rosanna Arquette","rosanna-arquettes-criterion-closet-picks","2025-04-13","2025","0","actors","30","https://www.youtube.com/watch?v=pKgdw6EjmeE","https://letterboxd.com/closetpicks/list/rosanna-arquettes-criterion-closet-picks/"
"John Greyson","john-greysons-criterion-closet-picks","2024-05-24","2024","0","directors","9","","https://letterboxd.com/closetpicks/list/john-greysons-criterion-closet-picks/"
"Pamela Anderson","pamela-andersons-criterion-closet-picks","2024-11-12","2024","0","actors;models","59","https://www.youtube.com/watch?v=tyo_tJuhw8U","https://letterboxd.com/closetpicks/list/pamela-andersons-criterion-closet-picks/"
"Charlotte Gainsbourg","charlotte-gainsbourgs-criterion-closet-picks","2022-05-05","2022","0","actors;musicians","27","https://www.youtube.com/watch?v=y10-tjb5Y5w","https://letterboxd.com/closetpicks/list/charlotte-gainsbourgs-criterion-closet-picks/"
"Todd Haynes","todd-haynes-criterion-closet-picks","2023-10-19","2023","0","directors;writers","24","https://www.youtube.com/watch?v=9-xwsIW_otg","https://letterboxd.com/closetpicks/list/todd-haynes-criterion-closet-picks/"
"Dick Cavett","dick-cavetts-criterion-closet-picks","2025-02-26","2025","0","tv-host;comedians","10","https://youtu.be/9FqyB5edf38","https://letterboxd.com/closetpicks/list/dick-cavetts-criterion-closet-picks/"
"Mark Bridges","mark-bridges-criterion-closet-picks","2023-10-03","2023","0","costume-designers","13","https://www.youtube.com/watch?v=picqoIogsxQ","https://letterboxd.com/closetpicks/list/mark-bridges-criterion-closet-picks/"
"Masahiro Shinoda","masahiro-shinodas-criterion-closet-picks","2010-09-23","2010","0","directors","8","","https://letterboxd.com/closetpicks/list/masahiro-shinodas-criterion-closet-picks/"
"Zoë Kravitz and Channing Tatum","zoe-kravitz-and-channing-tatums-criterion","2024-07-08","2024","1","actors;directors","17","https://www.youtube.com/watch?v=MJqjhDImNcY","https://letterboxd.com/closetpicks/list/zoe-kravitz-and-channing-tatums-criterion/"
"Danny Boyle","danny-boyles-criterion-closet-picks","2025-06-01","2025","0","directors;writers","9","https://youtu.be/Ud1T9R6vy2s","https://letterboxd.com/closetpicks/list/danny-boyles-criterion-closet-picks/"
"Mark Rylance","mark-rylances-criterion-closet-picks","2025-03-21","2025","0","actors","14","https://www.youtube.com/watch?v=ZwcnZjmh0a8","https://letterboxd.com/closetpicks/list/mark-rylances-criterion-closet-picks/"
"Rosamund Pike","rosamund-pikes-criterion-closet-picks","2025-03-26","2025","0","actors","34","https://www.youtube.com/watch?v=fiuHyOtavek","https://letterboxd.com/closetpicks/list/rosamund-pikes-criterion-closet-picks/"
"Aimee Lou Wood","aimee-lou-woods-criterion-closet-picks","2025-04-01","2025","0","actors","11","https://www.youtube.com/watch?v=LDGACubU99g","https://letterboxd.com/closetpicks/list/aimee-lou-woods-criterion-closet-picks/"
"Steve Zahn","steve-zahns-criterion-closet-picks","2026-03-19","2026","0","actors","7","https://www.youtube.com/watch?v=QElu6xNs6Q8","https://letterboxd.com/closetpicks/list/steve-zahns-criterion-closet-picks/"
"James Duval","james-duvals-criterion-closet-picks","2024-09-18","2024","0","actors","3","","https://letterboxd.com/closetpicks/list/james-duvals-criterion-closet-picks/"
"Alfonso Cuaron and Pawel Pawlikowski","alfonso-cuaron-and-pawel-pawlikowskis-criterion","2013-10-03","2013","1","directors","18","https://www.youtube.com/watch?v=BGvcB42YnM8","https://letterboxd.com/closetpicks/list/alfonso-cuaron-and-pawel-pawlikowskis-criterion/"
"Tatsuya Fuji","tatsuya-fujis-criterion-closet-picks","2024-07-18","2024","0","actors","2","","https://letterboxd.com/closetpicks/list/tatsuya-fujis-criterion-closet-picks/"
"Jeremy Pope","jeremy-popes-criterion-closet-picks","2024-10-21","2024","0","actors;musicians","13","https://www.youtube.com/watch?v=oRDkAdjp_e8","https://letterboxd.com/closetpicks/list/jeremy-popes-criterion-closet-picks/"
"Jodie Foster","jodie-fosters-criterion-closet-picks","2026-01-06","2026","0","actors;directors","33","https://www.youtube.com/watch?v=wO2fHMqAXO8&amp;list=WL&amp;index=19&amp;pp=iAQBsAgC","https://letterboxd.com/closetpicks/list/jodie-fosters-criterion-closet-picks/"
"Jamie Demetriou","jamie-demetrious-criterion-closet-picks","2026-01-27","2026","0","comedians;actors;writers","7","https://www.youtube.com/watch?v=W5hLFhqn1FM&amp;list=WL&amp;index=8&amp;pp=iAQBsAgC","https://letterboxd.com/closetpicks/list/jamie-demetrious-criterion-closet-picks/"
"Maura Tierney","maura-tierneys-criterion-closet-picks","2024-11-19","2024","0","actors","7","https://www.youtube.com/watch?v=M3mCdWe4X-0","https://letterboxd.com/closetpicks/list/maura-tierneys-criterion-closet-picks/"
"Charli xcx","charli-xcxs-criterion-closet-picks","2025-10-13","2025","0","musicians;letterboxd-members;actors;producers","4","https://youtu.be/-93R-4Dqzd0","https://letterboxd.com/closetpicks/list/charli-xcxs-criterion-closet-picks/"
"Alan Palomo","alan-palomos-criterion-closet-picks","2023-08-24","2023","0","musicians","8","https://www.youtube.com/watch?v=OQ0TJ1IkZIo","https://letterboxd.com/closetpicks/list/alan-palomos-criterion-closet-picks/"
"Vera Drew","vera-drews-criterion-closet-picks","2024-04-05","2024","0","actors;directors;writers","6","","https://letterboxd.com/closetpicks/list/vera-drews-criterion-closet-picks/"
"J. A. Bayona","j-a-bayonas-criterion-closet-picks","2024-02-15","2024","0","directors;writers","4","","https://letterboxd.com/closetpicks/list/j-a-bayonas-criterion-closet-picks/"
"Lucrecia Martel","lucrecia-martels-criterion-closet-picks","2018-09-17","2018","0","directors;writers","11","https://www.youtube.com/watch?v=iwhenYVvCVE","https://letterboxd.com/closetpicks/list/lucrecia-martels-criterion-closet-picks/"
"Vince Staples","vince-staples-criterion-closet-picks","2025-11-05","2025","0","musicians;actors;producers","13","https://youtu.be/MQZuHbd-rTw","https://letterboxd.com/closetpicks/list/vince-staples-criterion-closet-picks/"
"Roger Corman","roger-cormans-criterion-closet-picks","2023-09-04","2023","0","directors","6","https://www.youtube.com/watch?v=-paCwBPzHX0","https://letterboxd.com/closetpicks/list/roger-cormans-criterion-closet-picks/"
"Nicholas Hoult","nicholas-hoults-criterion-closet-picks","2024-12-17","2024","0","actors","15","https://www.youtube.com/watch?v=lr5UDJT7zbk","https://letterboxd.com/closetpicks/list/nicholas-hoults-criterion-closet-picks/"
"Patton Oswalt","patton-oswalts-criterion-closet-picks","2023-06-25","2023","0","actors;comedians","9","https://www.youtube.com/watch?v=fH2lRZJMmSA","https://letterboxd.com/closetpicks/list/patton-oswalts-criterion-closet-picks/"
"The Wolfpack","the-wolfpacks-criterion-closet-picks","2015-07-06","2015","1","actors","38","https://www.youtube.com/watch?v=edCT-dyYA0s","https://letterboxd.com/closetpicks/list/the-wolfpacks-criterion-closet-picks/"
