"selector_label","title","director","criterion_url","source","published_rank"
"Bruce Beresford","Hobson’s Choice","David Lean","https://www.criterion.com/films/1078-hobsons-choice","https://github.com/brittonwalker/criterion-top-ten",""
"Keith Gordon","Umberto D.","Vittorio De Sica","https://www.criterion.com/films/371-umberto-d","https://github.com/brittonwalker/criterion-top-ten",""
"Jesse Malin","Umberto D.","Vittorio De Sica","https://www.criterion.com/films/371-umberto-d","https://github.com/brittonwalker/criterion-top-ten",""
"James Schamus","Umberto D.","Vittorio De Sica","https://www.criterion.com/films/371-umberto-d","https://github.com/brittonwalker/criterion-top-ten",""
"Greg Mottola","Umberto D.","Vittorio De Sica","https://www.criterion.com/films/371-umberto-d","https://github.com/brittonwalker/criterion-top-ten",""
"Guy Maddin","Umberto D.","Vittorio De Sica","https://www.criterion.com/films/371-umberto-d","https://github.com/brittonwalker/criterion-top-ten",""
"Keith Gordon","Berlin Alexanderplatz","Rainer Werner Fassbinder","https://www.criterion.com/films/839-berlin-alexanderplatz","https://github.com/brittonwalker/criterion-top-ten",""
"Paul Schrader","Berlin Alexanderplatz","Rainer Werner Fassbinder","https://www.criterion.com/films/839-berlin-alexanderplatz","https://github.com/brittonwalker/criterion-top-ten",""
"David Hudson","Berlin Alexanderplatz","Rainer Werner Fassbinder","https://www.criterion.com/films/839-berlin-alexanderplatz","https://github.com/brittonwalker/criterion-top-ten",""
"Troy Miller","The Killers","Don Siegel","https://www.criterion.com/films/725-the-killers","https://github.com/brittonwalker/criterion-top-ten",""
"Austin Garrick","The Killers","Don Siegel","https://www.criterion.com/films/725-the-killers","https://github.com/brittonwalker/criterion-top-ten",""
"Stuart Cooper","The Killers","Don Siegel","https://www.criterion.com/films/725-the-killers","https://github.com/brittonwalker/criterion-top-ten",""
"Michael Barker","The Killers","Don Siegel","https://www.criterion.com/films/725-the-killers","https://github.com/brittonwalker/criterion-top-ten",""
"Sean Baker","A Constant Forge","Charles Kiselyak","https://www.criterion.com/films/956-a-constant-forge","https://github.com/brittonwalker/criterion-top-ten",""
"Daniel Lopatin","A Constant Forge","Charles Kiselyak","https://www.criterion.com/films/956-a-constant-forge","https://github.com/brittonwalker/criterion-top-ten",""
"Sean Baker","The Bakery Girl of Monceau","Eric Rohmer","https://www.criterion.com/films/786-the-bakery-girl-of-monceau","https://github.com/brittonwalker/criterion-top-ten",""
"André Gregory and Wallace Shawn","The Bakery Girl of Monceau","Eric Rohmer","https://www.criterion.com/films/786-the-bakery-girl-of-monceau","https://github.com/brittonwalker/criterion-top-ten",""
"Richard Ayoade","The Bakery Girl of Monceau","Eric Rohmer","https://www.criterion.com/films/786-the-bakery-girl-of-monceau","https://github.com/brittonwalker/criterion-top-ten",""
"Sean Baker","My Night at Maud’s","Eric Rohmer","https://www.criterion.com/films/791-my-night-at-mauds","https://github.com/brittonwalker/criterion-top-ten",""
"André Gregory and Wallace Shawn","My Night at Maud’s","Eric Rohmer","https://www.criterion.com/films/791-my-night-at-mauds","https://github.com/brittonwalker/criterion-top-ten",""
"Richard Ayoade","My Night at Maud’s","Eric Rohmer","https://www.criterion.com/films/791-my-night-at-mauds","https://github.com/brittonwalker/criterion-top-ten",""
"David Schwartz","My Night at Maud’s","Eric Rohmer","https://www.criterion.com/films/791-my-night-at-mauds","https://github.com/brittonwalker/criterion-top-ten",""
"David Hudson","My Night at Maud’s","Eric Rohmer","https://www.criterion.com/films/791-my-night-at-mauds","https://github.com/brittonwalker/criterion-top-ten",""
"Annie Baker","Diary of a Country Priest","Robert Bresson","https://www.criterion.com/films/452-diary-of-a-country-priest","https://github.com/brittonwalker/criterion-top-ten",""
"Pedro Costa","Diary of a Country Priest","Robert Bresson","https://www.criterion.com/films/452-diary-of-a-country-priest","https://github.com/brittonwalker/criterion-top-ten",""
"Annie Baker","The Tales of Hoffmann","Michael Powell and Emeric Pressburger","https://www.criterion.com/films/748-the-tales-of-hoffmann","https://github.com/brittonwalker/criterion-top-ten",""
"Kim Newman","The Tales of Hoffmann","Michael Powell and Emeric Pressburger","https://www.criterion.com/films/748-the-tales-of-hoffmann","https://github.com/brittonwalker/criterion-top-ten",""
"Annie Baker","Vanya on 42nd Street","Louis Malle","https://www.criterion.com/films/28022-vanya-on-42nd-street","https://github.com/brittonwalker/criterion-top-ten",""
"Annie Baker","Documenteur","Agnès Varda","https://www.criterion.com/films/28630-documenteur","https://github.com/brittonwalker/criterion-top-ten",""
"André Gregory and Wallace Shawn","Murmur of the Heart","Louis Malle","https://www.criterion.com/films/775-murmur-of-the-heart","https://github.com/brittonwalker/criterion-top-ten",""
"Mary Ellen Mark","Murmur of the Heart","Louis Malle","https://www.criterion.com/films/775-murmur-of-the-heart","https://github.com/brittonwalker/criterion-top-ten",""
"Marcel Dzama","Murmur of the Heart","Louis Malle","https://www.criterion.com/films/775-murmur-of-the-heart","https://github.com/brittonwalker/criterion-top-ten",""
"Frederick Elmes","Murmur of the Heart","Louis Malle","https://www.criterion.com/films/775-murmur-of-the-heart","https://github.com/brittonwalker/criterion-top-ten",""
"James Franco","Murmur of the Heart","Louis Malle","https://www.criterion.com/films/775-murmur-of-the-heart","https://github.com/brittonwalker/criterion-top-ten",""
"Kevin Macdonald","Murmur of the Heart","Louis Malle","https://www.criterion.com/films/775-murmur-of-the-heart","https://github.com/brittonwalker/criterion-top-ten",""
"Josh and Benny Safdie","The Moment of Truth","Francesco Rosi","https://www.criterion.com/films/27674-the-moment-of-truth","https://github.com/brittonwalker/criterion-top-ten",""
"Olivier Assayas","White Material","Claire Denis","https://www.criterion.com/films/27559-white-material","https://github.com/brittonwalker/criterion-top-ten",""
"Olivier Assayas","Frances Ha","Noah Baumbach","https://www.criterion.com/films/28560-frances-ha","https://github.com/brittonwalker/criterion-top-ten",""
"Olivier Assayas","Che","Steven Soderbergh","https://www.criterion.com/films/20987-che","https://github.com/brittonwalker/criterion-top-ten",""
