rank,title,year,director,times_picked,lb_rating,imdb_rating,imdb_votes,imdb
334,Petite Maman,2021,Céline Sciamma,7,4.1,7.3,20991,tt13204490
335,My Life as a Dog,1985,Lasse Hallström,7,3.9,7.6,22901,tt0089606
336,Naqoyqatsi,2002,Godfrey Reggio,6,3.13,6.4,6539,tt0145937
337,Equinox Flower,1958,Yasujirō Ozu,6,4.04,7.8,5449,tt0051720
338,Miller's Crossing,1990,Joel Coen,6,4,7.7,148517,tt0100150
339,A Married Couple,1969,Allan King,6,3.86,7.5,675,tt0064640
340,Mystery Train,1989,Jim Jarmusch,6,3.97,7.5,33146,tt0097940
341,Crumb,1994,Terry Zwigoff,6,4.19,8,23063,tt0109508
342,Matewan,1987,John Sayles,6,4.15,7.9,10502,tt0093509
343,The Blob,1958,Irvin S. Yeaworth Jr.,6,3.04,6.3,32371,tt0051418
344,High and Low,1963,Akira Kurosawa,6,4.6,8.4,72305,tt0057565
345,Love Jones,1997,Theodore Witcher,6,3.83,7.3,6414,tt0119572
346,Streetwise,1984,Martin Bell,6,4.41,8.2,3762,tt0088196
347,Thief,1981,Michael Mann,6,4.07,7.4,50468,tt0083190
348,Police Story 2,1988,Jackie Chan,6,3.57,7,25308,tt0095403
349,Tokyo Twilight,1957,Yasujirō Ozu,6,4.24,8,5799,tt0051093
350,Election,1999,Alexander Payne,6,3.78,7.2,111739,tt0126886
351,Crash,1996,David Cronenberg,6,3.64,6.4,72101,tt0115964
352,Odd Man Out,1947,Carol Reed,6,3.93,7.6,13158,tt0039677
353,Harlan County U.S.A.,1976,Barbara Kopple,6,4.37,8.2,7553,tt0074605
354,Traffic,2000,Steven Soderbergh,6,3.7,7.5,230924,tt0181865
355,Late Autumn,1960,Yasujirō Ozu,6,4.13,7.9,6745,tt0053579
356,Don't Look Now,1973,Nicolas Roeg,6,3.78,7.1,68808,tt0069995
357,The Spirit of the Beehive,1973,Víctor Erice,6,4.17,7.7,22791,tt0070040
358,Bamboozled,2000,Spike Lee,6,3.88,6.7,13101,tt0215545
359,Bay of Angels,1963,Jacques Demy,6,3.77,7.2,4912,tt0056846
360,Children of Paradise,1945,Marcel Carné,6,4.3,8.3,22574,tt0037674
361,Rumble Fish,1983,Francis Ford Coppola,6,3.8,7.1,41404,tt0086216
362,Stranger Than Paradise,1984,Jim Jarmusch,6,3.88,7.4,43419,tt0088184
363,Mean Streets,1973,Martin Scorsese,6,3.71,7.2,128610,tt0070379
364,The Philadelphia Story,1940,George Cukor,6,3.99,7.8,78729,tt0032904
365,A Special Day,1977,Ettore Scola,6,4.35,8.1,18726,tt0076085
366,Color Adjustment,1992,Marlon Riggs,6,3.86,7.4,450,tt0103984
367,Local Hero,1983,Bill Forsyth,6,3.88,7.3,29940,tt0085859
368,Parasite,2019,Bong Joon Ho,6,4.52,8.5,1173969,tt6751668
369,Shanghai Express,1932,Josef von Sternberg,6,3.72,7.3,11829,tt0023458
370,Black Is… Black Ain’t,1994,Marlon Riggs,6,4.3,7.7,493,tt0109285
371,L'Argent,1983,Robert Bresson,6,4,7.4,13235,tt0085180
372,Arabian Nights,1974,Pier Paolo Pasolini,6,3.7,6.6,9993,tt0071502
373,The End of Summer,1961,Yasujirō Ozu,6,3.98,7.7,4955,tt0055052
374,The Devil Is a Woman,1935,Josef von Sternberg,6,3.62,6.9,4314,tt0026276
375,Berlin Alexanderplatz,1980,Rainer Werner Fassbinder,6,4.24,8.3,5269,tt0080196
376,Ikiru,1952,Akira Kurosawa,6,4.51,8.3,102814,tt0044741
377,Gimme Shelter,1970,"Albert Maysles, David Maysles, Charlotte Zwerin",6,4.04,7.8,13803,tt0065780
378,Koyaanisqatsi,1982,Godfrey Reggio,6,4.33,8.2,44804,tt0085809
379,Police Story,1985,Jackie Chan,6,4.03,7.5,46625,tt0089374
380,The Canterbury Tales,1972,Pier Paolo Pasolini,6,3.51,6.3,9136,tt0067647
381,The Decameron,1971,Pier Paolo Pasolini,6,3.8,7,13796,tt0065622
382,All About My Mother,1999,Pedro Almodóvar,6,4.19,7.8,110050,tt0185125
383,White Material,2009,Claire Denis,6,3.76,6.9,9010,tt1135952
384,Blonde Venus,1932,Josef von Sternberg,6,3.62,7.1,6347,tt0022698
385,Broadcast News,1987,James L. Brooks,6,4.04,7.3,36907,tt0092699
386,Powaqqatsi,1988,Godfrey Reggio,6,3.67,7.2,9411,tt0095895
387,Mishima: A Life in Four Chapters,1985,Paul Schrader,6,4.42,7.9,16880,tt0089603
388,Picnic at Hanging Rock,1975,Peter Weir,6,3.82,7.3,46059,tt0073540
389,Belle de Jour,1967,Luis Buñuel,6,3.95,7.6,53661,tt0061395
390,The Piano,1993,Jane Campion,6,3.84,7.5,101591,tt0107822
391,Memories of Underdevelopment,1968,Tomás Gutiérrez Alea,6,3.9,7.6,5420,tt0063291
392,"Memory for Max, Claire, Ida and Company",2005,Allan King,6,3.71,7.6,190,tt0478000
393,The Young Girls of Rochefort,1967,Jacques Demy,6,4.32,7.7,13845,tt0062873
394,Day for Night,1973,François Truffaut,6,4.19,8,26484,tt0070460
395,Ghost Dog: The Way of the Samurai,1999,Jim Jarmusch,6,4.06,7.5,103059,tt0165798
396,The Darjeeling Limited,2007,Wes Anderson,6,3.86,7.2,236126,tt0838221
397,The Grifters,1990,Stephen Frears,6,3.42,6.8,33510,tt0099703
398,The Ice Storm,1997,Ang Lee,6,3.76,7.3,63843,tt0119349
399,Come On Children,1973,Allan King,6,3.51,6.7,289,tt0269104
400,The Doom Generation,1995,Gregg Araki,6,3.79,6.2,18810,tt0112887
401,Ethnic Notions,1986,Marlon Riggs,6,3.99,8,622,tt0091018
402,Late Spring,1949,Yasujirō Ozu,6,4.33,8.2,21730,tt0041154
403,The Color of Pomegranates,1969,Sergei Parajanov,6,4.13,7.5,16805,tt0063555
404,My Beautiful Laundrette,1985,Stephen Frears,6,3.54,6.8,18820,tt0091578
405,No Regret,1993,Marlon Riggs,6,3.8,7.2,184,tt0137129
406,Daisies,1966,Věra Chytilová,6,4,7.2,17797,tt0060959
407,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,Wes Anderson,6,3.66,7.1,168626,tt8847712
408,Dying at Grace,2003,Allan King,6,3.98,8.2,460,tt0379269
409,A Room in Town,1982,Jacques Demy,6,3.51,6.7,1854,tt0084843
410,My Darling Clementine,1946,John Ford,6,4.11,7.7,28643,tt0038762
411,The Exterminating Angel,1962,Luis Buñuel,6,4.17,7.9,38278,tt0056732
412,Morocco,1930,Josef von Sternberg,6,3.57,7,8446,tt0021156
413,Isle of Dogs,2018,Wes Anderson,6,4.07,7.8,212413,tt5104604
414,Lola,1961,Jacques Demy,6,3.89,7.4,8530,tt0055093
415,Donkey Skin,1970,Jacques Demy,6,4,7,7886,tt0066207
416,The Cranes Are Flying,1957,Mikhail Kalatozov,6,4.46,8.3,22731,tt0050634
417,Early Spring,1956,Yasujirō Ozu,6,4.03,7.7,4309,tt0049784
418,Rosemary's Baby,1968,Roman Polanski,6,4.21,8,259050,tt0063522
419,Sullivan's Travels,1941,Preston Sturges,6,4,7.9,30861,tt0034240
420,Warrendale,1967,Allan King,6,3.91,7.5,636,tt0062474
421,An Unmarried Woman,1978,Paul Mazursky,6,3.92,7.2,6828,tt0078444
422,Tongues Untied,1989,Marlon Riggs,6,4.27,7.1,2160,tt0103099
423,McCabe & Mrs. Miller,1971,Robert Altman,6,4.14,7.6,30509,tt0067411
424,Dishonored,1931,Josef von Sternberg,6,3.84,7.2,3582,tt0021800
425,Tiny Furniture,2010,Lena Dunham,6,3.22,6.2,15461,tt1570989
426,Affirmations,1990,Marlon Riggs,6,3.81,6.9,248,tt0136697
427,Anthem,1992,Marlon Riggs,6,3.71,6.2,270,tt0136710
428,An Angel at My Table,1990,Jane Campion,6,3.87,7.4,9468,tt0099040
429,Black Girl,1966,Ousmane Sembène,6,4.09,7.4,7417,tt0060758
430,Stagecoach,1939,John Ford,6,3.98,7.8,59174,tt0031971
431,A Taste of Honey,1961,Tony Richardson,5,3.74,7.4,6990,tt0055506
432,"Germany, Year Zero",1948,Roberto Rossellini,5,4.03,7.8,15392,tt0039417
433,Wings of Desire,1987,Wim Wenders,5,4.31,7.9,84245,tt0093191
434,Burden of Dreams,1982,Les Blank,5,4.1,7.9,9194,tt0083702
435,A Face in the Crowd,1957,Elia Kazan,5,4.2,8.1,19284,tt0050371
436,Vive Le Tour,1962,Louis Malle,5,3.82,7.4,1043,tt0056662
437,Elevator to the Gallows,1958,Louis Malle,5,4.1,7.9,31891,tt0051378
438,"Rome, Open City",1945,Roberto Rossellini,5,4.18,8,34166,tt0038890
439,Inland Empire,2006,David Lynch,5,3.9,6.8,69328,tt0460829
440,Dreams,1990,Akira Kurosawa,5,4.24,7.7,32893,tt0100998
441,The Seventh Continent,1989,Michael Haneke,5,4.04,7.6,19190,tt0098327
442,Fearless Hyena,1979,Jackie Chan,5,3.46,6.6,6137,tt0079315
443,The Killing,1956,Stanley Kubrick,5,3.99,7.9,105981,tt0049406
444,M,1931,Fritz Lang,5,4.29,8.3,183261,tt0022100
445,Menace II Society,1993,"Allen Hughes, Albert Hughes",5,3.91,7.5,70454,tt0107554
446,My Lucky Stars,1985,Sammo Hung Kam-Bo,5,3.06,6.3,6862,tt0089177
447,A Human Condition,1974,"Louis Malle, René Vautier",5,3.33,6.4,525,tt0071635
448,Shadows in Paradise,1986,Aki Kaurismäki,5,3.88,7.4,8706,tt0092149
449,The Elephant Man,1980,David Lynch,5,4.3,8.2,282153,tt0080678
450,Diabolique,1955,Henri-Georges Clouzot,5,4.19,8.1,73503,tt0046911
451,The Silence of the Lambs,1991,Jonathan Demme,5,4.33,8.6,1730521,tt0102926
452,The Match Factory Girl,1990,Aki Kaurismäki,5,3.95,7.5,13704,tt0098532
453,Place de la République,1974,Louis Malle,5,3.56,6.9,513,tt0071999
454,Saint Omer,2022,Alice Diop,5,3.76,6.7,6399,tt15376894
455,The Golden Coach,1952,Jean Renoir,5,3.71,7,3777,tt0044487
456,"God Respects Us When We Work, But Loves Us When We Dance",1968,"Les Blank, Skip Gerson",5,3.45,6.4,409,tt0063016
457,Two-Lane Blacktop,1971,Monte Hellman,5,3.84,7.2,14467,tt0067893
458,Au Hasard Balthazar,1966,Robert Bresson,5,4.08,7.7,24980,tt0060138
459,71 Fragments of a Chronology of Chance,1994,Michael Haneke,5,3.77,7.1,9674,tt0109020
460,The Lady Vanishes,1938,Alfred Hitchcock,5,3.91,7.7,61562,tt0030341
461,French Cancan,1955,Jean Renoir,5,3.89,7.3,4859,tt0046998
462,L'Eclisse,1962,Michelangelo Antonioni,5,3.98,7.7,24502,tt0056736
463,Summertime,1955,David Lean,5,3.67,7.1,11406,tt0048673
464,Hot Pepper,1973,Les Blank,5,3.71,6.8,348,tt0070193
465,EO,2022,Jerzy Skolimowski,5,3.57,6.7,17159,tt19652910
466,Memories of Murder,2003,Bong Joon Ho,5,4.42,8.1,269721,tt0353969
467,Spiritual Kung Fu,1978,Lo Wei,5,3.11,5.8,2849,tt0078128
468,Elena and Her Men,1956,Jean Renoir,5,3.34,6.2,2323,tt0049177
469,Onibaba,1964,Kaneto Shindō,5,4.07,7.8,25881,tt0058430
470,The Awful Truth,1937,Leo McCarey,5,3.89,7.6,23375,tt0028597
471,Frances Ha,2012,Noah Baumbach,5,4.03,7.4,102780,tt2347569
472,The Graduate,1967,Mike Nichols,5,4.1,8,302505,tt0061722
473,Cat People,1942,Jacques Tourneur,5,3.67,7.2,28746,tt0034587
474,The Young Master,1980,Jackie Chan,5,3.57,7,9231,tt0081499
475,The Fisher King,1991,Terry Gilliam,5,3.9,7.5,97036,tt0101889
476,Rebecca,1940,Alfred Hitchcock,5,4.12,8,161479,tt0032976
477,"Dance, Girl, Dance",1940,Dorothy Arzner,5,3.54,6.8,3558,tt0032376
478,Calcutta,1969,Louis Malle,5,3.56,7.1,818,tt0062773
479,Throne of Blood,1957,Akira Kurosawa,5,4.27,8,60434,tt0050613
480,The Parallax View,1974,Alan J. Pakula,5,3.85,7.1,24877,tt0071970
481,Beyond the Valley of the Dolls,1970,Russ Meyer,5,3.54,6.1,13003,tt0065466
482,The Daytrippers,1996,Greg Mottola,5,3.89,7.1,9008,tt0116041
483,Dry Wood,1973,"Les Blank, Maureen Gosling",5,3.63,6.7,307,tt0070005
484,Man Bites Dog,1992,"Rémy Belvaux, André Bonzel, Benoît Poelvoorde",5,3.79,7.4,45102,tt0103905
485,Valley of the Dolls,1967,Mark Robson,5,3.43,6.1,10759,tt0062430
486,Garlic Is as Good as Ten Mothers,1980,Les Blank,5,4,7.3,976,tt0080776
487,The Friends of Eddie Coyle,1973,Peter Yates,5,3.91,7.4,13780,tt0070077
488,The Blues Accordin' to Lightnin' Hopkins,1968,"Les Blank, Skip Gerson",5,4.05,7.7,927,tt0064099
489,Paper Moon,1973,Peter Bogdanovich,5,4.39,8.1,57782,tt0070510
490,My Dinner with Andre,1981,Louis Malle,5,4.1,7.6,30800,tt0082783
491,The Great Escape,1963,John Sturges,5,4.16,8.2,278229,tt0057115
492,After Hours,1985,Martin Scorsese,5,4.13,7.6,98873,tt0088680
493,The Devil's Backbone,2001,Guillermo del Toro,5,3.82,7.3,75764,tt0256009
494,The Lady Eve,1941,Preston Sturges,5,3.96,7.7,25513,tt0033804
495,Purple Noon,1960,René Clément,5,4.03,7.7,24099,tt0054189
496,Monterey Pop,1968,D. A. Pennebaker,5,4.12,7.9,5459,tt0064689
497,The Night Porter,1974,Liliana Cavani,5,3.39,6.6,16550,tt0071910
498,Old Joy,2006,Kelly Reichardt,5,3.79,6.8,10022,tt0468526
499,The Maestro: King of the Cowboy Artists,1995,Les Blank,5,3.68,7.1,290,tt0113734
500,Pickup on South Street,1953,Samuel Fuller,5,3.92,7.6,17848,tt0046187
501,Betty Blue,1986,Jean-Jacques Beineix,5,3.93,7.3,24021,tt0090563
502,In Heaven There Is No Beer?,1984,"Les Blank, Maureen Gosling",5,3.68,7,399,tt0087465
503,Original Cast Album: Company,1970,D. A. Pennebaker,5,4.21,8,1294,tt0293475
504,Jimi Plays Monterey,1986,"D. A. Pennebaker, Chris Hegedus",5,4.15,8.1,1586,tt0093312
505,God's Country,1985,Louis Malle,5,3.94,7.5,988,tt0091125
506,The Tin Drum,1979,Volker Schlöndorff,5,3.72,7.4,27985,tt0078875
507,"Yum, Yum, Yum! A Taste of the Cajun and Creole Cooking of Louisiana",1990,"Les Blank, Maureen Gosling",5,3.92,7.3,344,tt0100997
508,Half a Loaf of Kung Fu,1978,Chen Chi-Hwa,5,2.86,5.6,2392,tt0080623
509,Nowhere,1997,Gregg Araki,5,3.99,6.6,12380,tt0119809
510,Benny's Video,1992,Michael Haneke,5,3.63,7.1,20894,tt0103793
511,Sprout Wings and Fly,1983,"Les Blank, Cece Conway, Alice Gerrard",5,3.73,7,305,tt0086353
512,The Last Days of Disco,1998,Whit Stillman,5,3.78,6.7,15244,tt0120728
513,Spend It All,1972,Les Blank,5,3.95,7.3,428,tt0067782
514,Sworn to the Drum: A Tribute to Francisco Aguabella,1995,Les Blank,5,3.48,6.7,168,tt0114595
515,Phantom India,1969,Louis Malle,5,3.92,8.1,535,tt0063914
516,Metropolitan,1990,Whit Stillman,5,3.82,7.2,13785,tt0100142
517,Ariel,1988,Aki Kaurismäki,5,3.91,7.4,9844,tt0094675
518,Vivre Sa Vie,1962,Jean-Luc Godard,5,4.01,7.8,37823,tt0056663
519,Citizen Kane,1941,Orson Welles,5,4.18,8.2,493806,tt0033467
520,… And the Pursuit of Happiness,1986,Louis Malle,5,3.73,7.2,570,tt0092561
521,A Well Spent Life,1971,"Les Blank, Skip Gerson",5,3.95,7.4,608,tt0067968
522,Paisan,1946,Roberto Rossellini,5,3.92,7.6,10759,tt0038823
523,I Married a Witch,1942,René Clair,5,3.58,7.1,10881,tt0034881
524,Red Desert,1964,Michelangelo Antonioni,5,4.03,7.4,19362,tt0058003
525,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick,5,4.3,8.3,551577,tt0057012
526,La Cérémonie,1995,Claude Chabrol,5,4.08,7.5,15306,tt0112769
527,Hollywood Shuffle,1987,Robert Townsend,5,3.66,6.9,7177,tt0093200
528,Mouchette,1967,Robert Bresson,5,4.06,7.6,14198,tt0061996
529,Time,2020,Garrett Bradley,5,3.78,6.8,6572,tt11416746
530,Gap-Toothed Women,1987,Les Blank,5,3.96,7.2,521,tt0095199
531,One-Eyed Jacks,1961,Marlon Brando,5,3.68,7.1,15201,tt0055257
532,Salesman,1969,"David Maysles, Charlotte Zwerin, Albert Maysles",5,3.87,7.6,6210,tt0064921
533,Totally F***ed Up,1993,Gregg Araki,5,3.77,6.5,5429,tt0108366
534,Solaris,1972,Andrei Tarkovsky,5,4.22,7.9,104422,tt0069293
535,The Damned,1969,Luchino Visconti,5,3.82,7.4,11005,tt0064118
536,A Tale of Winter,1992,Éric Rohmer,4,3.87,7.2,7080,tt0104008
537,Masculin Féminin,1966,Jean-Luc Godard,4,3.8,7.3,19119,tt0060675
538,Samurai II: Duel at Ichijoji Temple,1955,Hiroshi Inagaki,4,3.68,7.3,7568,tt0048579
539,Something Wild,1986,Jonathan Demme,4,3.77,6.9,24020,tt0091983
540,The Kid,1921,Charlie Chaplin,4,4.21,8.2,146080,tt0012349
541,Life Is Sweet,1990,Mike Leigh,4,3.91,7.4,12198,tt0100024
542,Chimes at Midnight,1965,Orson Welles,4,4,7.6,11227,tt0059012
543,Touki Bouki,1973,Djibril Diop Mambéty,4,3.81,6.9,5034,tt0070820
544,Intentions of Murder,1964,Shōhei Imamura,4,3.89,7.6,2005,tt0057829
545,Umberto D.,1952,Vittorio De Sica,4,4.26,8.1,30695,tt0045274
546,As Long as You've Got Your Health,1966,Pierre Étaix,4,3.61,7.1,1059,tt0207145
547,A Tale of Autumn,1998,Éric Rohmer,4,3.89,7.4,7000,tt0137439
548,Watership Down,1978,Martin Rosen,4,3.89,7.5,43558,tt0078480
549,Certified Copy,2010,Abbas Kiarostami,4,4.09,7.2,29092,tt1020773
550,Symbiopsychotaxiplasm: Take One,1968,William Greaves,4,3.96,7.2,2923,tt0296881
551,Kwaidan,1964,Masaki Kobayashi,4,4.24,7.9,22973,tt0058279
552,The Game,1997,David Fincher,4,3.82,7.7,473344,tt0119174
553,"O Seasons, O Castles",1958,Agnès Varda,4,3.64,6.9,550,tt0050788
554,Hobson's Choice,1954,David Lean,4,3.85,7.7,10073,tt0047094
555,Fiancés on the Bridge,1962,Agnès Varda,4,3.4,6.7,1595,tt1086289
556,In a Lonely Place,1950,Nicholas Ray,4,4.19,7.9,39361,tt0042593
557,Anatomy of a Fall,2023,Justine Triet,4,4.12,7.6,231817,tt17009710
558,The Vanishing Lion,2003,Agnès Varda,4,3.44,6.5,771,tt0403227
559,Lone Star,1996,John Sayles,4,3.89,7.4,35948,tt0116905
560,"You've Got Beautiful Stairs, You Know...",1986,Agnès Varda,4,3.38,6.4,897,tt0301915
561,The Mother and the Whore,1973,Jean Eustache,4,4.18,7.7,7743,tt0070359
562,Walkabout,1971,Nicolas Roeg,4,4.01,7.6,29813,tt0067959
563,"Seven Rooms, Kitchen, Bathroom, for Sale",1984,Agnès Varda,4,3.58,6.6,487,tt0159938
564,Fearless Hyena 2,1983,Chan Chuen,4,2.52,5,2160,tt0085864
565,Les 3 Boutons,2015,Agnès Varda,4,3.11,6.1,540,tt4998170
566,The Watermelon Woman,1996,Cheryl Dunye,4,4.06,7.1,5136,tt0118125
567,Samurai III: Duel at Ganryu Island,1956,Hiroshi Inagaki,4,3.77,7.5,7277,tt0049710
568,Bringing Up Baby,1938,Howard Hawks,4,4,7.8,69362,tt0029947
569,Floating Weeds,1959,Yasujirō Ozu,4,4.11,7.9,9818,tt0053390
570,Ugetsu,1953,Kenji Mizoguchi,4,4.26,8.1,28366,tt0046478
571,Modern Times,1936,Charlie Chaplin,4,4.26,8.5,285946,tt0027977
572,Samurai I: Musashi Miyamoto,1954,Hiroshi Inagaki,4,3.66,7.4,10395,tt0047444
573,Lost Highway,1997,David Lynch,4,4.11,7.6,171318,tt0116922
574,A Tale of Springtime,1990,Éric Rohmer,4,3.69,7.1,6582,tt0097106
575,Diary of a Pregnant Woman,1958,Agnès Varda,4,3.7,6.7,1561,tt0052031
576,The Marriage of Maria Braun,1979,Rainer Werner Fassbinder,4,4.06,7.7,16299,tt0079095
577,Ulysse,1983,Agnès Varda,4,3.93,7.3,1024,tt0161034
578,Paths of Glory,1957,Stanley Kubrick,4,4.45,8.4,239984,tt0050825
579,Le Grand Amour,1969,Pierre Étaix,4,3.83,7.5,1566,tt0064390
580,Women Reply,1975,Agnès Varda,4,3.64,6.9,1713,tt0073619
581,The Bitter Tears of Petra von Kant,1972,Rainer Werner Fassbinder,4,4.13,7.5,12510,tt0068278
582,The Pleasure of Love in Iran,1976,Agnès Varda,4,3.46,6.4,1293,tt0196855
583,Bull Durham,1988,Ron Shelton,4,3.52,7,63069,tt0094812
584,Band of Outsiders,1964,Jean-Luc Godard,4,3.9,7.6,29069,tt0057869
585,Drylongso,1998,Cauleen Smith,4,3.88,6.8,367,tt0181517
586,Portrait of a Lady on Fire,2019,Céline Sciamma,4,4.42,8,128475,tt8613070
587,The Men Who Tread on the Tiger's Tail,1945,Akira Kurosawa,4,3.33,6.7,4908,tt0038182
588,Hoop Dreams,1994,Steve James,4,4.44,8.3,29613,tt0110057
589,Hello Cubans,1963,Agnès Varda,4,4.05,7.5,2081,tt0057466
590,Rififi,1955,Jules Dassin,4,4.27,8.1,39463,tt0048021
591,Heart of a Dog,2015,Laurie Anderson,4,3.63,7,2743,tt4935446
592,My Man Godfrey,1936,Gregory La Cava,4,3.94,7.9,28739,tt0028010
593,Things to Come,1936,William Cameron Menzies,4,3.29,6.6,10202,tt0028358
594,The Player,1992,Robert Altman,4,4.01,7.5,72396,tt0105151
595,Le Havre,2011,Aki Kaurismäki,4,3.87,7.2,25434,tt1508675
596,The World of Jacques Demy,1995,Agnès Varda,4,3.78,7.3,657,tt0114794
597,Eyes Without a Face,1960,Georges Franju,4,3.92,7.6,39325,tt0053459
598,Slacker,1990,Richard Linklater,4,3.69,7,25455,tt0102943
599,Carnal Knowledge,1971,Mike Nichols,4,3.63,6.9,17020,tt0066892
600,The Naked Kiss,1964,Samuel Fuller,4,3.83,7.2,9694,tt0058390
601,The Suitor,1962,Pierre Étaix,4,3.74,7.2,1257,tt0056514
602,The Young Girls Turn 25,1993,Agnès Varda,4,3.81,7,616,tt0106696
603,Pina,2011,Wim Wenders,4,3.98,7.6,16734,tt1440266
604,The Passion of Joan of Arc,1928,Carl Theodor Dreyer,4,4.42,8.1,68566,tt0019254
605,Elsa the Rose,1966,Agnès Varda,4,3.69,6.8,612,tt0781365
606,The Unknown,1927,Tod Browning,4,3.83,7.7,10315,tt0018528
607,"Ydessa, the Bears and etc.",2004,Agnès Varda,4,3.62,7.1,465,tt0423559
608,Heaven's Gate,1980,Michael Cimino,4,3.79,6.7,19161,tt0080855
609,Mona Lisa,1986,Neil Jordan,4,3.81,7.3,19422,tt0091538
610,The Most Beautiful,1944,Akira Kurosawa,4,2.71,5.6,2838,tt0036947
611,Ashes and Diamonds,1958,Andrzej Wajda,4,4.06,7.7,15079,tt0052080
612,Divorce Italian Style,1961,Pietro Germi,4,3.97,7.9,15772,tt0055913
613,A Story of Floating Weeds,1934,Yasujirō Ozu,4,3.82,7.6,3840,tt0025929
614,Freaks,1932,Tod Browning,4,3.94,7.8,54938,tt0022913
615,Kagemusha,1980,Akira Kurosawa,4,4.23,7.9,41095,tt0080979
616,Nashville,1975,Robert Altman,4,4.17,7.6,31578,tt0073440
617,Heaven Can Wait,1943,Ernst Lubitsch,4,3.68,7.3,13439,tt0035979
618,A Summer's Tale,1996,Éric Rohmer,4,4.1,7.6,12052,tt0115940
619,Sanshiro Sugata,1943,Akira Kurosawa,4,3.36,6.7,6298,tt0036400
620,"Jo Jo Dancer, Your Life Is Calling",1986,Richard Pryor,4,3.38,6.3,2556,tt0091295
621,To Be or Not to Be,1942,Ernst Lubitsch,4,4.34,8.1,50010,tt0035446
622,The Double Life of Véronique,1991,Krzysztof Kieślowski,4,4.1,7.6,57217,tt0101765
623,A Master Builder,2013,Jonathan Demme,4,2.88,5.9,1194,tt2276069
624,Twin Peaks: Fire Walk with Me,1992,David Lynch,4,4.34,7.3,118728,tt0105665
625,Pan's Labyrinth,2006,Guillermo del Toro,4,4.15,8.2,748602,tt0457430
626,Carnival of Souls,1962,Herk Harvey,4,3.77,7,31318,tt0055830
627,Death in Venice,1971,Luchino Visconti,4,3.7,7.3,25020,tt0067445
628,Polyester,1981,John Waters,4,3.85,7,10165,tt0082926
629,The Mystic,1925,Tod Browning,4,3.38,6.6,719,tt0016142
630,Land of Milk and Honey,1971,Pierre Étaix,4,3.21,6,514,tt0258013
631,Along the Coast,1958,Agnès Varda,4,3.97,7.4,2047,tt0051561
632,Smooth Talk,1985,Joyce Chopra,4,3.59,6.6,3876,tt0090037
633,Pigs and Battleships,1961,Shōhei Imamura,4,3.92,7.4,2888,tt0054709
634,Drugstore Cowboy,1989,Gus Van Sant,4,3.69,7.2,43057,tt0097240
635,A Hard Day's Night,1964,Richard Lester,4,3.88,7.5,50017,tt0058182
636,Yoyo,1965,Pierre Étaix,4,3.98,7.5,1939,tt0059934
637,"Sanshiro Sugata, Part Two",1945,Akira Kurosawa,4,2.88,6,3140,tt0038268
638,The Squid and the Whale,2005,Noah Baumbach,4,3.7,7.3,94804,tt0367089
639,Barcelona,1994,Whit Stillman,4,3.72,7,7051,tt0109219
640,Double Indemnity,1944,Billy Wilder,4,4.25,8.3,182035,tt0036775
641,Breaking the Waves,1996,Lars von Trier,4,4.14,7.8,76189,tt0115751
642,The Executioner,1963,Luis García Berlanga,4,3.97,7.9,8204,tt0057643
643,Werckmeister Harmonies,2000,Béla Tarr,4,4.31,7.9,18169,tt0249241
644,Night on Earth,1991,Jim Jarmusch,4,4,7.6,71343,tt0102536
645,Hunger,2008,Steve McQueen,4,4.03,7.5,76681,tt0986233
646,Ivan's Childhood,1962,Andrei Tarkovsky,4,4.19,8,43639,tt0056111
647,Antichrist,2009,Lars von Trier,4,3.39,6.5,145358,tt0870984
648,Weekend,2011,Andrew Haigh,4,3.93,7.6,34728,tt1714210
649,The So-Called Caryatids,1984,Agnès Varda,4,3.76,7,918,tt0160210
650,Lost in America,1985,Albert Brooks,4,3.69,7,11522,tt0089504
651,Make Way for Tomorrow,1937,Leo McCarey,4,4.23,8.1,10672,tt0029192
652,The Insect Woman,1963,Shōhei Imamura,4,3.87,7.4,2726,tt0057363
653,23rd Psalm Branch,1967,Stan Brakhage,3,3.75,7,125,tt6391052
654,Tess,1979,Roman Polanski,3,3.85,7.3,19961,tt0080009
655,Flow,2024,Gints Zilbalodis,3,4.09,7.9,148155,tt4772188
656,The Last Temptation of Christ,1988,Martin Scorsese,3,3.92,7.5,68413,tt0095497
657,Me and You and Everyone We Know,2005,Miranda July,3,3.67,7.2,38680,tt0415978
658,Forty Guns,1957,Samuel Fuller,3,3.7,6.9,7169,tt0050407
659,Dheepan,2015,Jacques Audiard,3,3.62,7.2,18013,tt4082068
660,Emitaï,1971,Ousmane Sembène,3,3.9,7.1,685,tt0067048
661,Army of Shadows,1969,Jean-Pierre Melville,3,4.36,8.1,29344,tt0064040
662,Take Out,2004,"Sean Baker, Tsou Shih-ching",3,3.81,7.1,2979,tt0391483
663,A Room with a View,1986,James Ivory,3,3.71,7.2,52633,tt0091867
664,Sing a Song of Sex,1967,Nagisa Ōshima,3,3.64,6.5,990,tt0062042
665,Wedlock House: An Intercourse,1959,Stan Brakhage,3,3.45,6.2,853,tt0278145
