rank,title,year,director,times_picked,lb_rating,imdb_rating,imdb_votes,imdb
1404,Ghost World,2001,Terry Zwigoff,1,3.58,7.3,131191,tt0162346
1405,Coco,2017,Lee Unkrich,1,4.13,8.4,713711,tt2380307
1406,Dalíland,2022,Mary Harron,1,2.73,5.9,3161,tt8399658
1407,Surface Tension,1968,Hollis Frampton,1,3.36,5.8,472,tt0131042
1408,In the Realm of the Senses,1976,Nagisa Ōshima,1,3.62,6.6,25312,tt0074102
1409,A Story from Chikamatsu,1954,Kenji Mizoguchi,1,4.16,8,5473,tt0046851
1410,Night and the City,1950,Jules Dassin,1,4.04,7.8,16600,tt0042788
1411,The Truth,1960,Henri-Georges Clouzot,1,4.02,7.6,5539,tt0054452
1412,Moonlight,2016,Barry Jenkins,1,4.2,7.4,353563,tt4975722
1413,Patterns,1955,Fielder Cook,1,3.46,7.8,159,tt0622424
1414,Liquid Crystals,1978,Jean Painlevé,1,3.71,6.7,464,tt1441254
1415,Performance,1970,"Nicolas Roeg, Donald Cammell",1,3.59,6.7,12260,tt0066214
1416,Gloria!,1979,Hollis Frampton,1,3.29,4.9,316,tt2186791
1417,Spaceman,2024,Johan Renck,1,3.02,5.7,47944,tt11097384
1418,Control,2007,Anton Corbijn,1,3.92,7.6,71757,tt0421082
1419,How Some Jellyfish Are Born,1960,"Jean Painlevé, Geneviève Hamon",1,3.45,6.5,359,tt0129836
1420,Toni,1935,Jean Renoir,1,3.75,7.2,2302,tt0025898
1421,Asteroid City,2023,Wes Anderson,1,3.47,6.4,145578,tt14230388
1422,Demon Pond,1979,Masahiro Shinoda,1,3.71,7,1248,tt0079041
1423,American Fiction,2023,Cord Jefferson,1,3.74,7.5,153588,tt23561236
1424,Colossal Youth,2006,Pedro Costa,1,4.01,6.8,1888,tt0460480
1425,Plan 75,2022,Chie Hayakawa,1,3.53,6.6,3076,tt19719904
1426,Joyce at 34,1972,"Joyce Chopra, Claudia Weill",1,3.78,7.1,154,tt1503716
1427,Phantom Thread,2017,Paul Thomas Anderson,1,4.17,7.4,162822,tt5776858
1428,The Iron Claw,2023,Sean Durkin,1,4.11,7.5,120216,tt21064584
1429,We the Animals,2018,Jeremiah Zagar,1,3.8,6.9,4808,tt7681824
1430,The Big Risk,1960,Claude Sautet,1,3.79,7.5,5104,tt0052698
1431,Missing,1982,Costa-Gavras,1,3.94,7.7,24471,tt0084335
