slug,title,year,director,runtime,imdb,tmdb,lb_rating,lb_rating_count,imdb_rating,imdb_votes,times_picked,imdb_url,lb_url
the-octopus-1928,The Octopus,1928,Jean Painlevé,13,tt0130186,117590,3.51,2016,6.6,569,1,https://www.imdb.com/title/tt0130186/,https://letterboxd.com/film/the-octopus-1928/
megalopolis-2024,Megalopolis,2024,Francis Ford Coppola,138,tt10128846,592831,2.28,292465,4.7,42479,1,https://www.imdb.com/title/tt10128846/,https://letterboxd.com/film/megalopolis-2024/
fools-paradise-2023,Fool's Paradise,2023,Charlie Day,98,tt9013340,553147,2.3,26548,4.7,7732,1,https://www.imdb.com/title/tt9013340/,https://letterboxd.com/film/fools-paradise-2023/
gate-of-hell,Gate of Hell,1953,Teinosuke Kinugasa,86,tt0045935,43349,3.68,8760,7.1,4848,1,https://www.imdb.com/title/tt0045935/,https://letterboxd.com/film/gate-of-hell/
the-brood,The Brood,1979,David Cronenberg,92,tt0078908,28942,3.59,108854,6.8,38184,1,https://www.imdb.com/title/tt0078908/,https://letterboxd.com/film/the-brood/
sea-urchins-1929,Sea Urchins,1929,Jean Painlevé,10,tt0130168,147211,3.38,855,6.4,412,1,https://www.imdb.com/title/tt0130168/,https://letterboxd.com/film/sea-urchins-1929/
closely-watched-trains,Closely Watched Trains,1966,Jiří Menzel,93,tt0060802,789,3.94,23264,7.6,15118,1,https://www.imdb.com/title/tt0060802/,https://letterboxd.com/film/closely-watched-trains/
eves-bayou,Eve's Bayou,1997,Kasi Lemmons,108,tt0119080,45153,3.83,32407,7.2,12964,1,https://www.imdb.com/title/tt0119080/,https://letterboxd.com/film/eves-bayou/
i-wanna-hold-your-hand,I Wanna Hold Your Hand,1978,Robert Zemeckis,99,tt0077714,55457,3.66,13098,6.9,6292,1,https://www.imdb.com/title/tt0077714/,https://letterboxd.com/film/i-wanna-hold-your-hand/
sea-urchins,Sea Urchins,1954,"Geneviève Hamon, Jean Painlevé",11,tt0130169,117593,3.5,459,6.7,348,1,https://www.imdb.com/title/tt0130169/,https://letterboxd.com/film/sea-urchins/
cesar,César,1936,Marcel Pagnol,141,tt0027489,43873,3.84,2785,7.6,1847,1,https://www.imdb.com/title/tt0027489/,https://letterboxd.com/film/cesar/
christ-stopped-at-eboli,Christ Stopped at Eboli,1979,Francesco Rosi,220,tt0079010,42169,4.02,3822,7.7,4934,1,https://www.imdb.com/title/tt0079010/,https://letterboxd.com/film/christ-stopped-at-eboli/
a-wind-from-the-south-1955,A Wind from the South,1955,Daniel Petrie,50,tt0320767,406480,,,6.5,138,1,https://www.imdb.com/title/tt0320767/,https://letterboxd.com/film/a-wind-from-the-south-1955/
underworld,Underworld,1927,Josef von Sternberg,87,tt0018526,42565,3.79,5639,7.5,3909,1,https://www.imdb.com/title/tt0018526/,https://letterboxd.com/film/underworld/
the-music-room,The Music Room,1958,Satyajit Ray,100,tt0051792,822,4.07,15005,7.8,7392,1,https://www.imdb.com/title/tt0051792/,https://letterboxd.com/film/the-music-room/
maria-2024,Maria,2024,Pablo Larraín,123,tt22893404,1038263,3.35,130103,6.4,25479,1,https://www.imdb.com/title/tt22893404/,https://letterboxd.com/film/maria-2024/
love-2015,Love,2015,Gaspar Noé,134,tt3774694,292431,3.17,172104,6.1,74271,1,https://www.imdb.com/title/tt3774694/,https://letterboxd.com/film/love-2015/
pan-699,Pan 699,1974,Hollis Frampton,,tt2187023,166709,2.19,981,3.7,289,1,https://www.imdb.com/title/tt2187023/,https://letterboxd.com/film/pan-699/
kalpana-1948,Kalpana,1948,Uday Shankar,154,tt0311384,177813,3.57,541,6.4,192,1,https://www.imdb.com/title/tt0311384/,https://letterboxd.com/film/kalpana-1948/
appropriate-behavior,Appropriate Behavior,2014,Desiree Akhavan,90,tt3077108,249916,3.39,13927,6.5,5133,1,https://www.imdb.com/title/tt3077108/,https://letterboxd.com/film/appropriate-behavior/
the-thick-walled-room,The Thick-Walled Room,1956,Masaki Kobayashi,110,tt0134756,159412,3.63,1526,7,747,1,https://www.imdb.com/title/tt0134756/,https://letterboxd.com/film/the-thick-walled-room/
kims-video,Kim's Video,2023,"David Redmon, Ashley Sabin",89,tt24132144,1058673,3.38,7680,6.9,1200,1,https://www.imdb.com/title/tt24132144/,https://letterboxd.com/film/kims-video/
prisoners-of-the-land,Prisoners of the Land,1939,Mario Soffici,87,tt0176049,335367,3.62,2208,7,413,1,https://www.imdb.com/title/tt0176049/,https://letterboxd.com/film/prisoners-of-the-land/
drunken-angel,Drunken Angel,1948,Akira Kurosawa,98,tt0040979,25858,3.91,32638,7.6,14903,1,https://www.imdb.com/title/tt0040979/,https://letterboxd.com/film/drunken-angel/
monte-carlo-1930,Monte Carlo,1930,Ernst Lubitsch,90,tt0021153,105067,3.33,2337,6.6,1667,1,https://www.imdb.com/title/tt0021153/,https://letterboxd.com/film/monte-carlo-1930/
bergman-island,Bergman Island,2006,Marie Nyreröd,84,tt0469772,106194,3.67,1546,7.6,1095,1,https://www.imdb.com/title/tt0469772/,https://letterboxd.com/film/bergman-island/
the-shrouds,The Shrouds,2024,David Cronenberg,120,tt20212786,970947,2.99,72004,5.7,9344,1,https://www.imdb.com/title/tt20212786/,https://letterboxd.com/film/the-shrouds/
le-deuxieme-souffle,Le Deuxième Souffle,1966,Jean-Pierre Melville,150,tt0060305,25047,3.98,8929,7.9,7456,1,https://www.imdb.com/title/tt0060305/,https://letterboxd.com/film/le-deuxieme-souffle/
night-journey,Night Journey,1960,Alexander Hammid,29,tt0422824,132375,3.47,359,6.2,202,1,https://www.imdb.com/title/tt0422824/,https://letterboxd.com/film/night-journey/
simon-of-the-desert,Simon of the Desert,1965,Luis Buñuel,45,tt0059719,36265,3.99,23005,7.8,11885,1,https://www.imdb.com/title/tt0059719/,https://letterboxd.com/film/simon-of-the-desert/
zatoichis-cane-sword,Zatoichi's Cane Sword,1967,Kimiyoshi Yasuda,93,tt0186725,54277,3.6,1914,7.4,1541,1,https://www.imdb.com/title/tt0186725/,https://letterboxd.com/film/zatoichis-cane-sword/
limelight,Limelight,1952,Charlie Chaplin,137,tt0044837,28971,4.15,25295,8,24055,1,https://www.imdb.com/title/tt0044837/,https://letterboxd.com/film/limelight/
living-2022,Living,2022,Oliver Hermanus,102,tt9051908,760099,3.59,71007,7.2,40015,1,https://www.imdb.com/title/tt9051908/,https://letterboxd.com/film/living-2022/
the-host,The Host,2006,Bong Joon Ho,120,tt0468492,1255,3.76,320591,7.1,143543,1,https://www.imdb.com/title/tt0468492/,https://letterboxd.com/film/the-host/
conclave,Conclave,2024,Edward Berger,120,tt20215234,974576,3.92,1948017,7.4,280813,1,https://www.imdb.com/title/tt20215234/,https://letterboxd.com/film/conclave/
the-last-command,The Last Command,1928,Josef von Sternberg,88,tt0019071,52679,3.98,5956,7.9,5097,1,https://www.imdb.com/title/tt0019071/,https://letterboxd.com/film/the-last-command/
the-naked-island,The Naked Island,1960,Kaneto Shindō,97,tt0056049,3764,4.17,10554,8,6838,1,https://www.imdb.com/title/tt0056049/,https://letterboxd.com/film/the-naked-island/
new-tale-of-zatoichi,New Tale of Zatoichi,1963,Tokuzō Tanaka,91,tt0057503,18510,3.64,4685,7.3,2628,1,https://www.imdb.com/title/tt0057503/,https://letterboxd.com/film/new-tale-of-zatoichi/
adventures-of-zatoichi,Adventures of Zatoichi,1964,Kimiyoshi Yasuda,86,tt0164984,54272,3.43,2492,7.1,1683,1,https://www.imdb.com/title/tt0164984/,https://letterboxd.com/film/adventures-of-zatoichi/
